time,open,high,low,close,volume
1/5/2009,311.23,311.23,311.23,311.23,
1/6/2009,314.21,314.21,314.21,314.21,
1/7/2009,320.53,320.53,320.53,320.53,
1/8/2009,314.14,314.14,314.14,314.14,
1/9/2009,312.9,312.9,312.9,312.9,
1/12/2009,312.22,312.22,312.22,312.22,
1/13/2009,306.75,306.75,306.75,306.75,
1/14/2009,308.28,308.28,308.28,308.28,
1/15/2009,303.55,303.55,303.55,303.55,
1/16/2009,305.26,305.26,305.26,305.26,
1/19/2009,304.13,304.13,304.13,304.13,
1/20/2009,301.63,301.63,301.63,301.63,
1/21/2009,297.55,297.55,297.55,297.55,
1/22/2009,298.49,298.49,298.49,298.49,
1/23/2009,300.48,300.48,300.48,300.48,
2/2/2009,294.36,294.36,294.36,294.36,
2/3/2009,283.86,283.86,283.86,283.86,
2/4/2009,281.44,281.44,281.44,281.44,
2/5/2009,273.53,273.53,273.53,273.53,
2/6/2009,277.54,277.54,277.54,277.54,
2/9/2009,282.68,282.68,282.68,282.68,
2/10/2009,277.34,277.34,277.34,277.34,
2/11/2009,271.33,271.33,271.33,271.33,
2/12/2009,270.95,270.95,270.95,270.95,
2/13/2009,269.45,269.45,269.45,269.45,
2/16/2009,267.29,267.29,267.29,267.29,
2/17/2009,257.71,257.71,257.71,257.71,
2/18/2009,249.4,249.4,249.4,249.4,
2/19/2009,249.63,249.63,249.63,249.63,
2/20/2009,247.09,247.09,247.09,247.09,
2/23/2009,239.1,239.1,239.1,239.1,
2/24/2009,230.72,230.72,230.72,230.72,
2/25/2009,239.66,239.66,239.66,239.66,
2/26/2009,236.91,236.91,236.91,236.91,
2/27/2009,240.11,240.11,240.11,240.11,
3/2/2009,242.67,242.67,242.67,242.67,
3/3/2009,235.76,235.76,235.76,235.76,
3/4/2009,238.57,238.57,238.57,238.57,
3/5/2009,240.59,240.59,240.59,240.59,
3/6/2009,239.18,239.18,239.18,239.18,
3/9/2009,240.42,240.42,240.42,240.42,
3/10/2009,244.01,244.01,244.01,244.01,
3/11/2009,247.73,247.73,247.73,247.73,
3/12/2009,242.66,242.66,242.66,242.66,
3/13/2009,243.92,243.92,243.92,243.92,
3/16/2009,247.83,247.83,247.83,247.83,
3/17/2009,256.8,256.8,256.8,256.8,
3/18/2009,267.82,267.82,267.82,267.82,
3/19/2009,261.42,261.42,261.42,261.42,
3/20/2009,261.39,261.39,261.39,261.39,
3/23/2009,254.82,254.82,254.82,254.82,
3/24/2009,266.45,266.45,266.45,266.45,
3/25/2009,274.67,274.67,274.67,274.67,
3/26/2009,284.71,284.71,284.71,284.71,
3/27/2009,285.95,285.95,285.95,285.95,
3/30/2009,280.36,280.36,280.36,280.36,
3/31/2009,276.99,276.99,276.99,276.99,
4/1/2009,287.44,287.44,287.44,287.44,
4/2/2009,297.25,297.25,297.25,297.25,
4/3/2009,310.82,310.82,310.82,310.82,
